id,AZ,non,non,non,EL,non,non,non,non;;;;;
4037771705,-47.9218623343501,0,0,0;;;4037771462,-59.3740904062457,0,0,0;;
4037771705,-47.8723025126838,0,0,0;;;4037771462,-59.4335262799723,0,0,0;;
4037771705,-47.8161758443585,0,0,0;;;4037771462,-59.4920837821546,0,0,0;;
4037771705,-47.7617111509672,0,0,0;;;4037771462,-59.5596326926984,0,0,0;;
4037771705,-47.7027048009389,0,0,0;;;4037771462,-59.6322904386143,0,0,0;;
4037771705,-47.6481158682793,0,0,0;;;4037771462,-59.70836619313,0,0,0;;
4037771705,-47.5895031152083,0,0,0;;;4037771462,-59.7819512886757,0,0,0;;
4037771705,-47.5381557428944,0,0,0;;;4037771462,-59.8618743767501,0,0,0;;
4037771705,-47.4875576694313,0,0,0;;;4037771462,-59.946609671778,0,0,0;;
4037771705,-47.4464804407858,0,0,0;;;4037771462,-60.0189996014467,0,0,0;;
4037771705,-47.4041860290112,0,0,0;;;4037771462,-60.0944130362595,0,0,0;;
4037771705,-47.3696793065761,0,0,0;;;4037771462,-60.1689206605928,0,0,0;;
4037771705,-47.3345495537799,0,0,0;;;4037771462,-60.2468818963608,0,0,0;;
4037771705,-47.303623402792,0,0,0;;;4037771462,-60.3200582162976,0,0,0;;
4037771705,-47.2709416183103,0,0,0;;;4037771462,-60.3886788701821,0,0,0;;
4037771705,-47.2398848281742,0,0,0;;;4037771462,-60.4637848493879,0,0,0;;
4037771705,-47.2047237085455,0,0,0;;;4037771462,-60.5371853880342,0,0,0;;
4037771705,-47.1700966019851,0,0,0;;;4037771462,-60.5958438981837,0,0,0;;
4037771705,-47.1317008070203,0,0,0;;;4037771462,-60.656741765764,0,0,0;;
4037771705,-47.0954571795388,0,0,0;;;4037771462,-60.7084354004353,0,0,0;;
4037771705,-47.0555308150507,0,0,0;;;4037771462,-60.7621152348127,0,0,0;;
4037771705,-47.0199499567066,0,0,0;;;4037771462,-60.8095695319585,0,0,0;;
4037771705,-46.9837079605033,0,0,0;;;4037771462,-60.8454252296557,0,0,0;;
4037771705,-46.9525884124501,0,0,0;;;4037771462,-60.8755757657951,0,0,0;;
4037771705,-46.9211987723944,0,0,0;;;4037771462,-60.9065890663407,0,0,0;;
4037771705,-46.8956591843669,0,0,0;;;4037771462,-60.9215680109262,0,0,0;;
4037771705,-46.8687545880156,0,0,0;;;4037771462,-60.9263135690003,0,0,0;;
4037771705,-46.8455221260737,0,0,0;;;4037771462,-60.9077258017055,0,0,0;;
4037771705,-46.8205051890077,0,0,0;;;4037771462,-60.8793519522917,0,0,0;;
4037771705,-46.7987166018811,0,0,0;;;4037771462,-60.8439204466493,0,0,0;;
4037771705,-46.7763077351415,0,0,0;;;4037771462,-60.7897342391971,0,0,0;;
4037771705,-46.7542930588171,0,0,0;;;4037771462,-60.7221488442162,0,0,0;;
4037771705,-46.7280458149432,0,0,0;;;4037771462,-60.6464398548078,0,0,0;;
4037771705,-46.7031786085122,0,0,0;;;4037771462,-60.5650078993064,0,0,0;;
4037771705,-46.6774557629631,0,0,0;;;4037771462,-60.4780186992669,0,0,0;;
4037771705,-46.6515132431824,0,0,0;;;4037771462,-60.3678220292184,0,0,0;;
4037771705,-46.6255374487053,0,0,0;;;4037771462,-60.2581267915166,0,0,0;;
4037771705,-46.6027986860124,0,0,0;;;4037771462,-60.1340131113646,0,0,0;;
