id,AZ,non,non,non,EL,non,non,non,non;;;
4037771562,-78.6756688466108,0,0,0;;;4037771400,-81.026045381871,0,0,0
4037771562,-78.8949580924325,0,0,0;;;4037771400,-81.9341894806735,0,0,0
4037771562,-79.3265809052446,0,0,0;;;4037771400,-82.7602734034722,0,0,0
4037771562,-79.7455443361816,0,0,0;;;4037771400,-83.750695697831,0,0,0
4037771562,-80.1196682871687,0,0,0;;;4037771400,-84.6556282392636,0,0,0
4037771562,-80.5998104746689,0,0,0;;;4037771400,-85.8741655315323,0,0,0
4037771562,-81.3540615591574,0,0,0;;;4037771400,-86.7959124428199,0,0,0
4037771562,-82.0827471922892,0,0,0;;;4037771400,-87.5525407945889,0,0,0
4037771562,-82.8799485564488,0,0,0;;;4037771400,-87.6887928376985,0,0,0
4037771562,-83.7847645176581,0,0,0;;;4037771400,-87.5144190030455,0,0,0
4037771562,-84.7387163579883,0,0,0;;;4037771400,-86.8093914797242,0,0,0
4037771562,-85.7983356188368,0,0,0;;;4037771400,-86.0503609108223,0,0,0
4037771562,-86.7572732030042,0,0,0;;;4037771400,-85.2570735889879,0,0,0
4037771562,-87.8723778481166,0,0,0;;;4037771400,-84.3393293417808,0,0,0
4037771562,-88.688341214533,0,0,0;;;4037771400,-83.5871961930044,0,0,0
4037771562,-89.3292932680802,0,0,0;;;4037771400,-82.6777265075077,0,0,0
4037771562,-90.0371844904119,0,0,0;;;4037771400,-81.9665707861337,0,0,0
4037771562,-90.0371844904119,0,0,0;;;4037771400,-81.3422644718734,0,0,0
4037771562,-89.7371037260531,0,0,0;;;4037771400,-80.7048887306051,0,0,0
4037771562,-89.1627739262397,0,0,0;;;4037771400,-80.2761101548525,0,0,0
4037771562,-88.3749417892282,0,0,0;;;4037771400,-79.9675625075442,0,0,0
4037771562,-87.3535287970934,0,0,0;;;4037771400,-79.669600401491,0,0,0
4037771562,-86.2890104738169,0,0,0;;;4037771400,-79.5401247524667,0,0,0
4037771562,-85.1988277501968,0,0,0;;;4037771400,-79.2743503087223,0,0,0
4037771562,-84.093253098313,0,0,0;;;4037771400,-79.155063041431,0,0,0
4037771562,-82.8556304813835,0,0,0;;;4037771400,-79.1004696610563,0,0,0
